Neighborhood,Latitude,Longitude
Sagar Pur,28.60588000000007,77.09552000000008
Saket (Delhi),28.52407000000005,77.20677000000006
Saket District Centre,28.528130000000033,77.21905000000004
Sarai Kale Khan,28.585180000000037,77.26346000000007
Sarita Vihar,28.550380000000075,77.28341000000006
Sarojini Nagar,28.575600000000065,77.19364000000007
Sarvodaya Enclave,28.54096000000004,77.20118000000008
Seelampur subdivision,28.689440000000047,77.29381000000006
Seemapuri subdivision,28.68760000000003,77.33062000000007
Shadipur Depot,28.721810000000062,77.16452000000004
Shahdara district,28.65390000000008,77.29641000000004
Shaheen Bagh,28.550329724819683,77.29864602428579
Shahpur Jat,28.54854000000006,77.21393000000006
"Shakti Nagar, Delhi",28.67557000000005,77.16190000000006
Shalimar Bagh (Vidhan Sabha constituency),28.714230000000043,77.15744000000007
Shankar Vihar,28.566400000000044,77.14033000000006
"Shanti Niketan, Delhi",28.577560000000062,77.16811000000007
"Shastri Nagar, Delhi",28.647520000000043,77.27082000000007
Shastri Park,28.670060000000035,77.25175000000007
Shiv Ram Park,28.664450000000045,77.05740000000003
Shivaji Place,28.65265000000005,77.12139000000008
South Extension,28.56257000000005,77.21520000000004
South Patel Nagar,28.645610000000033,77.16682000000003
Sriniwaspuri,28.565680000000043,77.25733000000008
Tikri Kalan,28.67372000000006,76.96733000000006
Tilak Nagar (Delhi),28.64089000000007,77.08922000000007
Tis Hazari,28.666000000000054,77.21520000000004
Urdu Bazaar,28.648881338058917,77.23869195598824
Vasant Kunj,28.531520000000057,77.15020000000004
"Vasant Vihar, Delhi",28.565210000000036,77.16115000000008
Vasundhara Enclave,28.60017000000005,77.31666000000007
Vikaspuri,28.644640000000038,77.07511000000005
Vikram Vihar,28.194990000000075,76.79255000000006
Vivek Vihar subdivision,28.646420000000035,77.30615000000006
West Patel Nagar,28.647830000000056,77.16449000000006
Yamuna Pushta,28.582889069758117,77.30072966602604
Yamuna Vihar,28.70061000000004,77.27202000000005
